Betashares Portfolio Holdings,
,
Fund Name,Betashares Australia 200 ETF
Fund ASX Code,A200
Date,2026-08-27
,
Ticker,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
VCX AT,VICINITY LTD,Equities,Real Estate,Australia,AUD,0.36008492,15939231.0,39529292.88,39529292.88
PME AT,PRO MEDICUS LTD,Equities,Healthcare,Australia,AUD,0.35039559,214604.0,38465620.96,38465620.96
TNE AT,TECHNOLOGY ONE LTD,Equities,Information Technology,Australia,AUD,0.3482332,1208225.0,38228239.0,38228239.0
SHL AT,SONIC HEALTHCARE LTD,Equities,Healthcare,Australia,AUD,0.33838743,1848129.0,37147392.9,37147392.9
RHC AT,RAMSAY HEALTH CARE LTD,Equities,Healthcare,Australia,AUD,0.33621116,737285.0,36908487.1,36908487.1
COH AT,COCHLEAR LTD,Equities,Healthcare,Australia,AUD,0.33096725,263740.0,36332822.4,36332822.4
PRU AT,PERSEUS MINING LTD,Equities,Materials,Australia,AUD,0.33092928,5398017.0,36328654.41,36328654.41
LNW AT,LIGHT & WONDER INC,Equities,Consumer Discretionary,Australia,AUD,0.32833831,281222.0,36044223.74,36044223.74
GPT AT,GPT GROUP/THE,Equities,Real Estate,Australia,AUD,0.32794515,7742164.0,36001062.6,36001062.6
CHC AT,CHARTER HALL GROUP,Equities,Real Estate,Australia,AUD,0.32008657,1771087.0,35138366.08,35138366.08
GMD AT,GENESIS MINERALS LTD,Equities,Materials,Australia,AUD,0.3186691,4189552.0,34982759.2,34982759.2
AMC AT,AMCOR PLC,Equities,Materials,Australia,AUD,0.31768732,535961.0,34874982.27,34874982.27
SGH AT,SGH LTD,Equities,Industrials,Australia,AUD,0.28379376,785929.0,31154225.56,31154225.56
WTC AT,WISETECH GLOBAL LTD,Equities,Information Technology,Australia,AUD,0.28078459,779365.0,30823885.75,30823885.75
REA AT,REA GROUP LTD,Equities,Communication Services,Australia,AUD,0.27794478,177077.0,30512137.87,30512137.87
RMS AT,RAMELIUS RESOURCES LTD,Equities,Materials,Australia,AUD,0.26730853,7504991.0,29344514.81,29344514.81
MGR AT,MIRVAC GROUP,Equities,Real Estate,Australia,AUD,0.26466432,15963868.0,29054239.76,29054239.76
JBH AT,JB HI-FI LTD,Equities,Consumer Discretionary,Australia,AUD,0.26312812,437528.0,28885598.56,28885598.56
FPH AT,FISHER & PAYKEL HEALTHCARE COR,Equities,Healthcare,Australia,AUD,0.25975868,782324.0,28515709.8,28515709.8
VAU AT,VAULT MINERALS LTD,Equities,Materials,Australia,AUD,0.25374432,4108476.0,27855467.28,27855467.28
CMM AT,CAPRICORN METALS LTD,Equities,Materials,Australia,AUD,0.25201127,1594537.0,27665216.95,27665216.95
GGP AT,GREATLAND RESOURCES LTD,Equities,Materials,Australia,AUD,0.24624779,2069871.0,27032515.26,27032515.26
DNL AT,DYNO NOBEL LTD,Equities,Materials,Australia,AUD,0.24393693,7103139.0,26778834.03,26778834.03
RRL AT,REGIS RESOURCES LTD,Equities,Materials,Australia,AUD,0.23461762,3030092.0,25755782.0,25755782.0
WHC AT,WHITEHAVEN COAL LTD,Equities,Energy,Australia,AUD,0.23191792,3135396.0,25459415.52,25459415.52
AZJ AT,AURIZON HOLDINGS LTD,Equities,Industrials,Australia,AUD,0.23056674,6767670.0,25311085.8,25311085.8
SDF AT,STEADFAST GROUP LTD,Equities,Financials,Australia,AUD,0.2274283,4275095.0,24966554.8,24966554.8
WGX AT,WESTGOLD RESOURCES LTD,Equities,Materials,Australia,AUD,0.22684314,3796085.0,24902317.6,24902317.6
DXS AT,DEXUS,Equities,Real Estate,Australia,AUD,0.22549212,4282700.0,24754006.0,24754006.0
BEN AT,BENDIGO & ADELAIDE BANK LTD,Equities,Financials,Australia,AUD,0.22295894,2339954.0,24475918.84,24475918.84
HUB AT,HUB24 LTD,Equities,Financials,Australia,AUD,0.22121884,319328.0,24284894.4,24284894.4
CWY AT,CLEANAWAY WASTE MANAGEMENT LTD,Equities,Industrials,Australia,AUD,0.21151246,9070059.0,23219351.04,23219351.04
ANN AT,ANSELL LTD,Equities,Healthcare,Australia,AUD,0.20630102,562106.0,22647250.74,22647250.74
IGO AT,IGO LTD,Equities,Materials,Australia,AUD,0.20590502,2726632.0,22603779.28,22603779.28
AMP AT,AMP LTD,Equities,Financials,Australia,AUD,0.20577799,9612695.0,22589833.25,22589833.25
PDN AT,PALADIN ENERGY LTD,Equities,Energy,Australia,AUD,0.19666681,1787221.0,21589629.68,21589629.68
AGL AT,AGL ENERGY LTD,Equities,Utilities,Australia,AUD,0.19030857,2429260.0,20891636.0,20891636.0
CDA AT,CODAN LTD/AUSTRALIA,Equities,Information Technology,Australia,AUD,0.18670684,421560.0,20496247.2,20496247.2
SEK AT,SEEK LTD,Equities,Communication Services,Australia,AUD,0.18504974,1386644.0,20314334.6,20314334.6
CGF AT,CHALLENGER LTD,Equities,Financials,Australia,AUD,0.17659057,2021450.0,19385705.5,19385705.5
EDV AT,ENDEAVOUR GROUP LTD/AUSTRALIA,Equities,Consumer Staples,Australia,AUD,0.17102551,6135551.0,18774786.06,18774786.06
WOR AT,WORLEY LTD,Equities,Industrials,Australia,AUD,0.16912702,1834622.0,18566374.64,18566374.64
ALX AT,ATLAS ARTERIA LTD,Equities,Industrials,Australia,AUD,0.16114347,3763821.0,17689958.7,17689958.7
VNT AT,VENTIA SERVICES GROUP PTY LTD,Equities,Industrials,Australia,AUD,0.16027086,3246156.0,17594165.52,17594165.52
XYZ AT,BLOCK INC,Equities,Financials,Australia,AUD,0.16007739,152981.0,17572927.47,17572927.47
REH AT,REECE LTD,Equities,Industrials,Australia,AUD,0.15895418,1043014.0,17449624.22,17449624.22
TLX AT,TELIX PHARMACEUTICALS LTD,Equities,Healthcare,Australia,AUD,0.15838939,1116022.0,17387622.76,17387622.76
BOQ AT,BANK OF QUEENSLAND LTD,Equities,Financials,Australia,AUD,0.15288284,2643012.0,16783126.2,16783126.2
DOW AT,DOWNER EDI LTD,Equities,Industrials,Australia,AUD,0.15151598,2520163.0,16633075.8,16633075.8
TWE AT,TREASURY WINE ESTATES LTD,Equities,Consumer Staples,Australia,AUD,0.15000139,2961656.0,16466807.36,16466807.36
MP1 AT,MEGAPORT LTD,Equities,Information Technology,Australia,AUD,0.14745974,948874.0,16187790.44,16187790.44
WAF AT,WEST AFRICAN RESOURCES LTD,Equities,Materials,Australia,AUD,0.14353314,4040189.0,15756737.1,15756737.1
AUB AT,AUB GROUP LTD,Equities,Financials,Australia,AUD,0.13955117,518430.0,15319606.5,15319606.5
EMR AT,EMERALD RESOURCES NL,Equities,Materials,Australia,AUD,0.13579845,2114559.0,14907640.95,14907640.95
SGM AT,SIMS LTD,Equities,Materials,Australia,AUD,0.13345104,606372.0,14649947.52,14649947.52
APE AT,EAGERS AUTOMOTIVE LTD,Equities,Consumer Discretionary,Australia,AUD,0.12937897,638908.0,14202924.84,14202924.84
360 AT,LIFE360 INC,Equities,Information Technology,Australia,AUD,0.12735452,699734.0,13980685.32,13980685.32
A2M AT,A2 MILK CO LTD/THE,Equities,Consumer Staples,Australia,AUD,0.12546751,2010735.0,13773534.75,13773534.75
NWH AT,NRW HOLDINGS LTD,Equities,Industrials,Australia,AUD,0.12430881,1767660.0,13646335.2,13646335.2
BRG AT,BREVILLE GROUP LTD,Equities,Consumer Discretionary,Australia,AUD,0.12135893,407915.0,13322503.9,13322503.9
NHF AT,NIB HOLDINGS LTD/AUSTRALIA,Equities,Financials,Australia,AUD,0.12004169,1960997.0,13177899.84,13177899.84
PDIDB AT,PREDICTIVE DISCOVERY LTD,Equities,Materials,Australia,AUD,0.11819619,2948933.0,12975305.2,12975305.2
PNI AT,PINNACLE INVESTMENT MANAGEMENT,Equities,Financials,Australia,AUD,0.11574865,724850.0,12706620.5,12706620.5
VEA AT,VIVA ENERGY GROUP LTD,Equities,Energy,Australia,AUD,0.11544873,4415922.0,12673696.14,12673696.14
RWC AT,RELIANCE WORLDWIDE CORP LTD,Equities,Industrials,Australia,AUD,0.11473996,2999021.0,12595888.2,12595888.2
ZIP AT,ZIP CO LTD,Equities,Financials,Australia,AUD,0.11256664,4827073.0,12357306.88,12357306.88
MTS AT,METCASH LTD,Equities,Consumer Staples,Australia,AUD,0.11252111,4187223.0,12352307.85,12352307.85
ILU AT,ILUKA RESOURCES LTD,Equities,Materials,Australia,AUD,0.10986188,1722912.0,12060384.0,12060384.0
NHC AT,NEW HOPE CORP LTD,Equities,Energy,Australia,AUD,0.10625626,1983770.0,11664567.6,11664567.6
CSC AT,CAPSTONE COPPER CORP,Equities,Materials,Australia,AUD,0.10621359,717090.0,11659883.4,11659883.4
RSG AT,RESOLUTE MINING LTD,Equities,Materials,Australia,AUD,0.10520781,8399615.0,11549470.62,11549470.62
AAI AT,ALCOA CORP,Equities,Materials,Australia,AUD,0.10044483,160061.0,11026602.29,11026602.29
AIA AT,AUCKLAND INTERNATIONAL AIRPORT,Equities,Industrials,Australia,AUD,0.10012752,1550320.0,10991768.8,10991768.8
MND AT,MONADELPHOUS GROUP LTD,Equities,Industrials,Australia,AUD,0.09901577,373530.0,10869723.0,10869723.0
RGN AT,REGION RE LTD,Equities,Real Estate,Australia,AUD,0.09403708,4629226.0,10323173.98,10323173.98
DBI AT,DALRYMPLE BAY INFRASTRUCTURE L,Equities,Industrials,Australia,AUD,0.09328589,1954334.0,10240710.16,10240710.16
NWL AT,NETWEALTH GROUP LTD,Equities,Financials,Australia,AUD,0.09146858,467033.0,10041209.5,10041209.5
BGL AT,BELLEVUE GOLD LTD,Equities,Materials,Australia,AUD,0.0886509,5827480.0,9731891.6,9731891.6
